	#chr	start	end	gene_id	h2g	n_causal
0	chr1	11868	11869	ENSG00000223972.5	0.09	2
1	chr1	29569	29570	ENSG00000227232.5	0.03	2
2	chr1	91104	91105	ENSG00000239945.1	0.0	0
3	chr1	131024	131025	ENSG00000233750.3	0.01	4
4	chr1	133722	133723	ENSG00000238009.6	0.0	0
5	chr1	135894	135895	ENSG00000268903.1	0.25	3
6	chr1	137964	137965	ENSG00000269981.1	0.04	3
7	chr1	140338	140339	ENSG00000239906.1	0.02	4
8	chr1	160445	160446	ENSG00000241599.1	0.02	1
9	chr1	173861	173862	ENSG00000241860.6	0.09999999999999999	3
10	chr1	182695	182696	ENSG00000279928.2	0.01	1
11	chr1	195410	195411	ENSG00000279457.4	0.23	3
12	chr1	348365	348366	ENSG00000236679.2	0.01	4
13	chr1	359680	359681	ENSG00000228463.10	0.18000000000000002	5
14	chr1	493240	493241	ENSG00000250575.1	0.0	0
15	chr1	522927	522928	ENSG00000237094.12	0.02	1
16	chr1	629061	629062	ENSG00000225972.1	0.56	2
17	chr1	629639	629640	ENSG00000225630.1	0.0	0
18	chr1	631073	631074	ENSG00000237973.1	0.01	4
19	chr1	632756	632757	ENSG00000229344.1	0.01	1
20	chr1	633695	633696	ENSG00000248527.1	0.02	4
21	chr1	634375	634376	ENSG00000198744.5	0.02	5
22	chr1	722091	722092	ENSG00000229376.3	0.0	0
23	chr1	778625	778626	ENSG00000228327.3	0.0	0
24	chr1	778769	778770	ENSG00000237491.9	0.02	4
25	chr1	817370	817371	ENSG00000177757.2	0.0	0
26	chr1	817711	817712	ENSG00000230092.7	0.02	4
27	chr1	825137	825138	ENSG00000228794.8	0.0	0
28	chr1	827521	827522	ENSG00000225880.5	0.0	0
29	chr1	827795	827796	ENSG00000230021.10	0.0	0
30	chr1	876902	876903	ENSG00000230368.2	0.55	4
31	chr1	923927	923928	ENSG00000187634.12	0.0	0
32	chr1	959308	959309	ENSG00000188976.11	0.08	2
33	chr1	960583	960584	ENSG00000187961.14	0.0	0
34	chr1	966496	966497	ENSG00000187583.10	0.06999999999999999	3
35	chr1	982092	982093	ENSG00000187642.9	0.01	4
36	chr1	998050	998051	ENSG00000272512.1	0.01	3
37	chr1	1000171	1000172	ENSG00000188290.10	0.0	0
38	chr1	1001137	1001138	ENSG00000187608.9	0.64	3
39	chr1	1020119	1020120	ENSG00000188157.15	0.0	0
40	chr1	1055032	1055033	ENSG00000242590.1	0.0	0
41	chr1	1059707	1059708	ENSG00000217801.10	0.01	3
42	chr1	1063287	1063288	ENSG00000273443.1	0.03	3
43	chr1	1116360	1116361	ENSG00000131591.17	0.0	0
44	chr1	1173883	1173884	ENSG00000162571.13	0.0	0
45	chr1	1206591	1206592	ENSG00000186891.14	0.0	0
46	chr1	1214152	1214153	ENSG00000186827.11	0.02	2
47	chr1	1232030	1232031	ENSG00000078808.16	0.0	0
48	chr1	1232225	1232226	ENSG00000176022.6	0.98	3
49	chr1	1246721	1246722	ENSG00000184163.3	0.0	0
50	chr1	1251333	1251334	ENSG00000260179.1	0.12	1
51	chr1	1273884	1273885	ENSG00000160087.20	0.02	5
52	chr1	1275222	1275223	ENSG00000230415.1	0.0	0
53	chr1	1280435	1280436	ENSG00000162572.20	0.0	0
54	chr1	1307929	1307930	ENSG00000131584.19	0.04	5
55	chr1	1308596	1308597	ENSG00000169972.12	0.0	0
56	chr1	1318688	1318689	ENSG00000240731.1	0.01	5
57	chr1	1324690	1324691	ENSG00000127054.20	0.8	1
58	chr1	1324755	1324756	ENSG00000224051.7	0.0	0
59	chr1	1331279	1331280	ENSG00000169962.5	0.0	0
60	chr1	1349417	1349418	ENSG00000107404.20	0.04	3
61	chr1	1361776	1361777	ENSG00000162576.16	0.59	2
62	chr1	1375494	1375495	ENSG00000175756.13	0.0	0
63	chr1	1399334	1399335	ENSG00000221978.12	0.0	0
64	chr1	1399521	1399522	ENSG00000224870.6	0.2	3
65	chr1	1407292	1407293	ENSG00000242485.6	0.81	3
66	chr1	1409095	1409096	ENSG00000272455.1	0.15000000000000002	5
67	chr1	1449688	1449689	ENSG00000215915.9	0.01	2
68	chr1	1471768	1471769	ENSG00000160072.19	0.0	0
69	chr1	1503249	1503250	ENSG00000284740.1	0.03	2
70	chr1	1512150	1512151	ENSG00000197785.13	0.0	0
71	chr1	1540623	1540624	ENSG00000205090.9	0.0	0
72	chr1	1574101	1574102	ENSG00000215014.5	0.01	1
73	chr1	1574862	1574863	ENSG00000160075.12	0.0	0
74	chr1	1600134	1600135	ENSG00000228594.4	0.16	2
75	chr1	1615414	1615415	ENSG00000197530.12	0.0	0
76	chr1	1615794	1615795	ENSG00000272106.1	0.01	3
77	chr1	1632094	1632095	ENSG00000189409.13	0.0	0
78	chr1	1659011	1659012	ENSG00000248333.8	0.0	0
